date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:12:37	1067/1067	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e0b3310-42b%22	https://preview.uideck.com/items/freelancer/assets/js/jquery.counterup.min.js	C:/My%20Web%20Sites/freelancer%20website%20download/preview.uideck.com/items/freelancer/assets/js/jquery.counterup.min.js	(from https://preview.uideck.com/items/freelancer/)
03:12:37	5564/5564	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e0b330c-15bc%22	https://preview.uideck.com/items/freelancer/assets/js/jquery.easing.min.js	C:/My%20Web%20Sites/freelancer%20website%20download/preview.uideck.com/items/freelancer/assets/js/jquery.easing.min.js	(from https://preview.uideck.com/items/freelancer/)
03:12:38	397/397	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e0b3311-28f%22	https://preview.uideck.com/items/freelancer/assets/js/scrolling-nav.js	C:/My%20Web%20Sites/freelancer%20website%20download/preview.uideck.com/items/freelancer/assets/js/scrolling-nav.js	(from https://preview.uideck.com/items/freelancer/)
03:12:38	8415/8415	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e0b330b-20df%22	https://preview.uideck.com/items/freelancer/assets/js/wow.min.js	C:/My%20Web%20Sites/freelancer%20website%20download/preview.uideck.com/items/freelancer/assets/js/wow.min.js	(from https://preview.uideck.com/items/freelancer/)
03:12:38	2108/2108	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e0b330d-104c%22	https://preview.uideck.com/items/freelancer/assets/js/main.js	C:/My%20Web%20Sites/freelancer%20website%20download/preview.uideck.com/items/freelancer/assets/js/main.js	(from https://preview.uideck.com/items/freelancer/)
03:12:39	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fc78da7-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/freelancer%20website%20download/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://preview.uideck.com/items/freelancer/)
03:12:40	51608/51608	---M--	200	added ('OK')	application/font-woff2	etag:%225e0b3321-c998%22	https://preview.uideck.com/items/freelancer/assets/fonts/LineIcons.woff2	C:/My%20Web%20Sites/freelancer%20website%20download/preview.uideck.com/items/freelancer/assets/fonts/LineIcons.woff2	(from https://preview.uideck.com/items/freelancer/assets/css/lineicons.css)
03:12:40	124512/124512	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e0b3320-1e660%22	https://preview.uideck.com/items/freelancer/assets/fonts/LineIcons.eot	C:/My%20Web%20Sites/freelancer%20website%20download/preview.uideck.com/items/freelancer/assets/fonts/LineIcons.eot	(from https://preview.uideck.com/items/freelancer/assets/css/lineicons.css)
03:12:41	64588/64588	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225e0b331f-fc4c%22	https://preview.uideck.com/items/freelancer/assets/fonts/LineIcons.woff	C:/My%20Web%20Sites/freelancer%20website%20download/preview.uideck.com/items/freelancer/assets/fonts/LineIcons.woff	(from https://preview.uideck.com/items/freelancer/assets/css/lineicons.css)
03:12:43	124340/124340	---M--	200	added ('OK')	application/octet-stream	etag:%225e0b3321-1e5b4%22	https://preview.uideck.com/items/freelancer/assets/fonts/LineIcons.ttf	C:/My%20Web%20Sites/freelancer%20website%20download/preview.uideck.com/items/freelancer/assets/fonts/LineIcons.ttf	(from https://preview.uideck.com/items/freelancer/assets/css/lineicons.css)
03:12:44	8285/8285	---M--	200	added ('OK')	image/png	etag:%225e0b3305-205d%22	https://preview.uideck.com/items/freelancer/assets/images/shape.png	C:/My%20Web%20Sites/freelancer%20website%20download/preview.uideck.com/items/freelancer/assets/images/shape.png	(from https://preview.uideck.com/items/freelancer/assets/css/style.css)
03:12:44	3802/3802	---M--	200	added ('OK')	image/png	etag:%225e0b3303-eda%22	https://preview.uideck.com/items/freelancer/assets/images/shape-2.png	C:/My%20Web%20Sites/freelancer%20website%20download/preview.uideck.com/items/freelancer/assets/images/shape-2.png	(from https://preview.uideck.com/items/freelancer/assets/css/style.css)
03:12:44	609222/609222	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e0b331f-94bc6%22	https://preview.uideck.com/items/freelancer/assets/fonts/LineIcons.svg	C:/My%20Web%20Sites/freelancer%20website%20download/preview.uideck.com/items/freelancer/assets/fonts/LineIcons.svg	(from https://preview.uideck.com/items/freelancer/assets/css/lineicons.css)
